pool_id,dex,percentage
0x0dca2198d75127d387a4851a1b08c1b34b4c2acc,bnb__pancakeswap__3,10.9
0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,bnb__pancakeswap__3,10.9
0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0xf1be456cb8cd8eb787270093e7910ac43f9a812a,bnb__pancakeswap__3,10.9
0xfbd6aaebc129453049efac680a81917031ec33f8,bnb__pancakeswap__3,10.9
0x4f31fa980a675570939b737ebdde0471a4be40eb,bnb__pancakeswap__3,10.9
0xb2af49dbf526054faf19602860a5e298a79f3d05,bnb__pancakeswap__3,10.9
0x6bbc40579ad1bbd243895ca0acb086bb6300d636,bnb__pancakeswap__3,10.9
0xab1970af4afe97534a0f6cff5872aa4b9c260e88,bnb__pancakeswap__3,10.9
0x92a99fd66b4dfaae5af10da8ae30d06e27209ddb,bnb__pancakeswap__3,10.9
0xa818e5ab721f4756093ee166afbbbc7f2319ce56,bnb__pancakeswap__3,10.9
0xbe141893e4c6ad9272e8c04bab7e6a10604501a5,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0x9f6eb6903c1277c8f02d71f8814dc9998199af1d,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x92a99fd66b4dfaae5af10da8ae30d06e27209ddb,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xefeb8f0ee9eec187bbe8608b802502d526c4cf85,bnb__pancakeswap__3,10.9
0xc3d3521060f6866239bf5e5db5ba45d8c347366b,bnb__pancakeswap__3,10.9
0x35346986b68b336d370f126b4f69ac6712a986b5,bnb__pancakeswap__3,10.9
0xff35c9b32f7465c4c353e76fb742a2e3e1176a44,bnb__pancakeswap__3,10.9
0x4f3126d5de26413abdcf6948943fb9d0847d9818,bnb__pancakeswap__3,10.9
0x4f31fa980a675570939b737ebdde0471a4be40eb,bnb__pancakeswap__3,10.9
0x65d4588873c7cbc862a8778d9bbf9d40ffd7d973,bnb__pancakeswap__3,10.9
0x92b7807bf19b7dddf89b706143896d05228f3121,bnb__pancakeswap__3,10.9
0x1b0aa08fcf0d06333f6371339c0a5b5ab3ee4880,bnb__pancakeswap__3,10.9
0xe69968639db8b3029a1afb28eefe44e42159af2b,bnb__pancakeswap__3,10.9
0x1fa2cbbbb823a702a3622629bf297b75edbbf10f,bnb__pancakeswap__3,10.9
0xdbbf752e001e4632023ee385a61dcd1ee0c713cb,bnb__pancakeswap__3,10.9
0x92fc7783bd73b39a90fd4d457926783752d4ae6b,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x71cd938b95ad63cb724b986bd7628558a6af5bb1,bnb__pancakeswap__3,10.9
0x75287708d9c1ea4a4a9f95750dd91352a1e2c693,bnb__pancakeswap__3,10.9
0x6dafbf0ab4fd72e2a5c0ad5a1ed277d3bf8a8d1f,bnb__pancakeswap__3,10.9
0x16969fa79651bae11736f2f6576a86fe2726b42b,bnb__pancakeswap__3,10.9
0x560a3375c67c8ad4c13018c87633e6066477151f,bnb__pancakeswap__3,10.9
0x8c7a325bc654757de55711a608ee228709b0d40a,bnb__pancakeswap__3,10.9
0xc23dd98d3ae772a420a615f8d1b202ba53588d2a,bnb__pancakeswap__3,10.9
0xbba8f85c3ceddf73db4de17d31608d640eaea416,bnb__pancakeswap__3,10.9
0xcec31052610aaf0693d6b4d34e055687af3aeee6,bnb__pancakeswap__3,10.9
0xe77b8eb7d4e95c8a7ad8fc938b913f5346834aa8,bnb__pancakeswap__3,10.9
0xb2af49dbf526054faf19602860a5e298a79f3d05,bnb__pancakeswap__3,10.9
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,bnb__pancakeswap__3,10.9
0x6ee3ee9c3395bbd136b6076a70cb6cff241c0e24,bnb__pancakeswap__3,10.9
0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,bnb__pancakeswap__3,10.9
0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,bnb__pancakeswap__3,10.9
0x2b69244912b8bc5b0d71b813588da836efb632d9,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
